Date,low
2014-03-20,9.600000381469727
2014-03-21,9.5
2014-03-24,9.5
2014-03-25,9.5
2014-03-26,9.5
2014-03-27,9.5600004196167
2014-03-28,9.5600004196167
2014-03-31,9.5600004196167
2014-04-01,9.5600004196167
2014-04-02,9.5600004196167
2014-04-03,9.5600004196167
2014-04-04,9.510000228881836
2014-04-07,9.65999984741211
2014-04-08,9.680000305175781
2014-04-09,9.550000190734863
2014-04-10,9.65999984741211
2014-04-11,9.65999984741211
2014-04-14,9.699999809265137
2014-04-15,9.699999809265137
2014-04-16,9.699999809265137
2014-04-17,9.699999809265137
2014-04-21,9.699999809265137
2014-04-22,9.550000190734863
2014-04-23,9.550000190734863
2014-04-24,9.550000190734863
2014-04-25,9.649999618530273
2014-04-28,9.649999618530273
2014-04-29,9.5
2014-04-30,9.550000190734863
2014-05-01,9.550000190734863
2014-05-02,9.550000190734863
2014-05-05,9.550000190734863
2014-05-06,9.550000190734863
2014-05-07,9.600000381469727
2014-05-08,9.59000015258789
2014-05-09,9.5600004196167
2014-05-12,9.59000015258789
2014-05-13,9.59000015258789
2014-05-14,9.59000015258789
2014-05-15,9.579999923706055
2014-05-16,9.569999694824219
2014-05-19,9.5600004196167
2014-05-20,9.5600004196167
2014-05-21,9.609999656677246
2014-05-22,9.649999618530273
2014-05-23,9.6899995803833
2014-05-27,9.680000305175781
2014-05-28,9.6899995803833
2014-05-29,9.699999809265137
2014-05-30,9.699999809265137
2014-06-02,9.550000190734863
2014-06-03,9.680000305175781
2014-06-04,9.680000305175781
2014-06-05,9.680000305175781
2014-06-06,9.670000076293945
2014-06-09,9.670000076293945
2014-06-10,9.670000076293945
2014-06-11,9.699999809265137
2014-06-12,9.710000038146973
2014-06-13,9.699999809265137
2014-06-16,9.6899995803833
2014-06-17,9.710000038146973
2014-06-18,9.699999809265137
2014-06-19,9.710000038146973
2014-06-20,9.710000038146973
2014-06-23,9.710000038146973
2014-06-24,9.699999809265137
2014-06-25,9.699999809265137
2014-06-26,9.708999633789062
2014-06-27,9.699999809265137
2014-06-30,9.699999809265137
2014-07-01,9.699999809265137
2014-07-02,9.708999633789062
2014-07-03,9.699999809265137
2014-07-07,9.720000267028809
2014-07-08,9.699999809265137
2014-07-09,9.710000038146973
2014-07-10,9.710000038146973
2014-07-11,9.710000038146973
2014-07-14,9.699999809265137
2014-07-15,9.710000038146973
2014-07-16,9.710000038146973
2014-07-17,9.729999542236328
2014-07-18,9.729999542236328
2014-07-21,9.699999809265137
2014-07-22,9.710000038146973
2014-07-23,9.710000038146973
2014-07-24,9.699999809265137
2014-07-25,9.699999809265137
2014-07-28,9.699999809265137
2014-07-29,9.699999809265137
2014-07-30,9.699999809265137
2014-07-31,9.699999809265137
2014-08-01,9.720000267028809
2014-08-04,9.720000267028809
2014-08-05,9.720000267028809
2014-08-06,9.720000267028809
2014-08-07,9.720000267028809
2014-08-08,9.720000267028809
2014-08-11,9.720000267028809
2014-08-12,9.720000267028809
2014-08-13,9.720000267028809
2014-08-14,9.720000267028809
2014-08-15,9.710000038146973
2014-08-18,9.710000038146973
2014-08-19,9.710000038146973
2014-08-20,9.550000190734863
2014-08-21,9.579999923706055
2014-08-22,9.680000305175781
2014-08-25,9.699999809265137
2014-08-26,9.699999809265137
2014-08-27,9.729999542236328
2014-08-28,9.75
2014-08-29,9.720000267028809
2014-09-02,9.75
2014-09-03,9.760000228881836
2014-09-04,9.730999946594238
2014-09-05,9.770000457763672
2014-09-08,9.760000228881836
2014-09-09,9.779999732971191
2014-09-10,9.739999771118164
2014-09-11,9.739999771118164
2014-09-12,9.729999542236328
2014-09-15,9.729999542236328
2014-09-16,9.729999542236328
2014-09-17,9.729999542236328
2014-09-18,9.729999542236328
2014-09-19,9.729999542236328
2014-09-22,9.84000015258789
2014-09-23,9.899999618530273
2014-09-24,9.829999923706055
2014-09-25,9.829999923706055
2014-09-26,9.829999923706055
2014-09-29,9.880000114440918
2014-09-30,9.800000190734863
2014-10-01,9.779999732971191
2014-10-02,9.75
2014-10-03,9.75
2014-10-06,9.75
2014-10-07,9.8100004196167
2014-10-08,9.770000457763672
2014-10-09,9.890000343322754
2014-10-10,9.890000343322754
2014-10-13,9.890000343322754
2014-10-14,9.890000343322754
2014-10-15,9.90999984741211
2014-10-16,9.90999984741211
2014-10-17,9.90999984741211
2014-10-20,9.800000190734863
2014-10-21,9.75
2014-10-22,9.75
2014-10-23,9.779999732971191
2014-10-24,9.850000381469727
2014-10-27,9.84000015258789
2014-10-28,9.84000015258789
2014-10-29,9.819999694824219
2014-10-30,9.829999923706055
2014-10-31,9.829999923706055
2014-11-03,9.829999923706055
2014-11-04,9.829999923706055
2014-11-05,9.829999923706055
2014-11-06,9.829999923706055
2014-11-07,9.829999923706055
2014-11-10,9.829999923706055
2014-11-11,9.829999923706055
2014-11-12,9.829999923706055
2014-11-13,9.829999923706055
2014-11-14,9.829999923706055
2014-11-17,9.829999923706055
2014-11-18,9.829999923706055
2014-11-19,9.829999923706055
2014-11-20,9.829999923706055
2014-11-21,9.829999923706055
2014-11-24,9.829999923706055
2014-11-25,9.829999923706055
2014-11-26,9.829999923706055
2014-11-28,9.829999923706055
2014-12-01,9.829999923706055
2014-12-02,9.829999923706055
2014-12-03,9.829999923706055
2014-12-04,9.829999923706055
2014-12-05,9.850000381469727
2014-12-08,9.850000381469727
2014-12-09,9.850000381469727
2014-12-10,9.850000381469727
2014-12-11,9.850000381469727
2014-12-12,9.850000381469727
2014-12-15,9.850000381469727
2014-12-16,9.850000381469727
2014-12-17,9.829999923706055
2014-12-18,9.829999923706055
2014-12-19,9.829999923706055
2014-12-22,9.829999923706055
2014-12-23,9.829999923706055
2014-12-24,9.75
2014-12-26,9.75
2014-12-29,9.770000457763672
2014-12-30,9.850000381469727
2014-12-31,9.850000381469727
2015-01-02,9.779999732971191
2015-01-05,9.710000038146973
2015-01-06,9.720000267028809
2015-01-07,9.699999809265137
2015-01-08,9.789999961853027
2015-01-09,9.789999961853027
2015-01-12,9.789999961853027
2015-01-13,9.819999694824219
2015-01-14,9.829999923706055
2015-01-15,9.699999809265137
2015-01-16,9.859999656677246
2015-01-20,9.859999656677246
2015-01-21,9.930000305175781
2015-01-22,9.739999771118164
2015-01-23,9.720000267028809
2015-01-26,9.739999771118164
2015-01-27,9.753000259399414
2015-01-28,9.699999809265137
2015-01-29,9.699999809265137
2015-01-30,9.720000267028809
2015-02-02,9.699999809265137
2015-02-03,9.699999809265137
2015-02-04,9.649999618530273
2015-02-05,9.649999618530273
2015-02-06,9.649999618530273
2015-02-09,9.699999809265137
2015-02-10,9.739999771118164
2015-02-11,9.880000114440918
2015-02-12,9.850000381469727
2015-02-13,9.979999542236328
2015-02-17,9.899999618530273
2015-02-18,9.920000076293945
2015-02-19,10.0
2015-02-20,10.0
2015-02-23,9.829999923706055
2015-02-24,9.5
2015-02-25,9.774999618530273
2015-02-26,9.569999694824219
2015-02-27,9.699999809265137
2015-03-02,9.600000381469727
2015-03-03,9.100000381469727
2015-03-04,9.199999809265137
2015-03-05,8.5
2015-03-06,8.90999984741211
2015-03-09,8.970000267028809
2015-03-10,8.970000267028809
2015-03-11,9.0
2015-03-12,9.050000190734863
2015-03-13,9.149999618530273
2015-03-16,9.050000190734863
2015-03-17,9.10099983215332
2015-03-18,9.15999984741211
2015-03-19,9.15999984741211
2015-03-20,9.460000038146973
2015-03-23,9.880000114440918
2015-03-24,9.890000343322754
2015-03-25,10.050000190734863
2015-03-26,10.015999794006348
2015-03-27,10.09000015258789
2015-03-30,9.930000305175781
2015-03-31,10.050000190734863
2015-04-01,9.930000305175781
2015-04-02,10.050000190734863
2015-04-06,9.979999542236328
2015-04-07,10.029999732971191
2015-04-08,10.149999618530273
2015-04-09,10.100000381469727
2015-04-10,10.34000015258789
2015-04-13,10.329999923706055
2015-04-14,10.949999809265137
2015-04-15,10.699999809265137
2015-04-16,10.779999732971191
2015-04-17,10.600000381469727
2015-04-20,10.239999771118164
2015-04-21,10.960000038146973
2015-04-22,11.199999809265137
2015-04-23,11.670000076293945
2015-04-24,11.760000228881836
2015-04-27,11.84000015258789
2015-04-28,11.899999618530273
2015-04-29,11.729999542236328
2015-04-30,11.84000015258789
2015-05-01,11.75
2015-05-04,11.739999771118164
2015-05-05,11.989999771118164
2015-05-06,11.880000114440918
2015-05-07,11.680000305175781
2015-05-08,11.779999732971191
2015-05-11,11.890000343322754
2015-05-12,11.600000381469727
2015-05-13,11.824999809265137
2015-05-14,11.899999618530273
2015-05-15,11.979999542236328
2015-05-18,11.760000228881836
2015-05-19,12.100000381469727
2015-05-20,11.1899995803833
2015-05-21,12.180000305175781
2015-05-22,12.279999732971191
2015-05-26,12.529999732971191
2015-05-27,12.9399995803833
2015-05-28,12.569999694824219
2015-05-29,12.8100004196167
2015-06-01,13.0
2015-06-02,13.119999885559082
2015-06-03,12.885000228881836
2015-06-04,12.5
2015-06-05,12.09000015258789
2015-06-08,12.399999618530273
2015-06-09,12.300000190734863
2015-06-10,13.210000038146973
2015-06-11,12.760000228881836
2015-06-12,12.970000267028809
2015-06-15,12.84000015258789
2015-06-16,12.914999961853027
2015-06-17,13.0
2015-06-18,13.029999732971191
2015-06-19,13.149999618530273
2015-06-22,13.09000015258789
2015-06-23,13.050000190734863
2015-06-24,13.020000457763672
2015-06-25,13.0
2015-06-26,13.0600004196167
2015-06-29,13.03499984741211
2015-06-30,12.850000381469727
2015-07-01,12.699999809265137
2015-07-02,12.5
2015-07-06,13.0
2015-07-07,13.15999984741211
2015-07-08,13.25
2015-07-09,12.579999923706055
2015-07-10,12.9399995803833
2015-07-13,12.970000267028809
2015-07-14,12.979999542236328
2015-07-15,12.949999809265137
2015-07-16,13.0
2015-07-17,12.989999771118164
2015-07-20,12.75
2015-07-21,12.760000228881836
2015-07-22,12.949999809265137
2015-07-23,13.350000381469727
2015-07-24,13.079999923706055
2015-07-27,13.0
2015-07-28,13.050000190734863
2015-07-29,13.079999923706055
2015-07-30,12.880000114440918
2015-07-31,12.9399995803833
2015-08-03,12.960000038146973
2015-08-04,12.5
2015-08-05,12.970000267028809
2015-08-06,12.90999984741211
2015-08-07,12.850000381469727
2015-08-10,12.90999984741211
2015-08-11,12.279999732971191
2015-08-12,12.65999984741211
2015-08-13,12.600000381469727
2015-08-14,12.670000076293945
2015-08-17,12.899999618530273
2015-08-18,12.829999923706055
2015-08-19,12.539999961853027
2015-08-20,11.71500015258789
2015-08-21,11.5
2015-08-24,10.520000457763672
2015-08-25,11.600000381469727
2015-08-26,11.6899995803833
2015-08-27,11.710000038146973
2015-08-28,11.529999732971191
2015-08-31,11.729999542236328
2015-09-01,11.699999809265137
2015-09-02,11.819999694824219
2015-09-03,11.6899995803833
2015-09-04,11.550000190734863
2015-09-08,11.479999542236328
2015-09-09,11.260000228881836
2015-09-10,11.199999809265137
2015-09-11,11.1899995803833
2015-09-14,11.420000076293945
2015-09-15,11.350000381469727
2015-09-16,11.430000305175781
2015-09-17,11.529999732971191
2015-09-18,10.90999984741211
2015-09-21,10.850000381469727
2015-09-22,10.75
2015-09-23,10.460000038146973
2015-09-24,10.260000228881836
2015-09-25,10.25
2015-09-28,9.970000267028809
2015-09-29,9.550000190734863
2015-09-30,9.800000190734863
2015-10-01,9.829999923706055
2015-10-02,10.069999694824219
2015-10-05,10.0600004196167
2015-10-06,10.619999885559082
2015-10-07,10.65999984741211
2015-10-08,10.739999771118164
2015-10-09,11.039999961853027
2015-10-12,11.010000228881836
2015-10-13,11.010000228881836
2015-10-14,10.680000305175781
2015-10-15,10.670000076293945
2015-10-16,10.65999984741211
2015-10-19,10.399999618530273
2015-10-20,10.359999656677246
2015-10-21,10.520000457763672
2015-10-22,10.5
2015-10-23,10.729999542236328
2015-10-26,10.75
2015-10-27,10.319999694824219
2015-10-28,10.420000076293945
2015-10-29,10.609999656677246
2015-10-30,10.76200008392334
2015-11-02,10.739999771118164
2015-11-03,10.300000190734863
2015-11-04,10.729999542236328
2015-11-05,10.739999771118164
2015-11-06,10.680000305175781
2015-11-09,10.621000289916992
2015-11-10,10.5600004196167
2015-11-11,10.640000343322754
2015-11-12,10.699999809265137
2015-11-13,10.720000267028809
2015-11-16,10.720000267028809
2015-11-17,10.630000114440918
2015-11-18,10.430000305175781
2015-11-19,10.390000343322754
2015-11-20,9.949999809265137
2015-11-23,10.149999618530273
2015-11-24,10.100000381469727
2015-11-25,10.460000038146973
2015-11-27,10.279999732971191
2015-11-30,10.40999984741211
2015-12-01,10.4399995803833
2015-12-02,10.5
2015-12-03,10.390000343322754
2015-12-04,10.260000228881836
2015-12-07,10.130000114440918
2015-12-08,9.739999771118164
2015-12-09,10.100000381469727
2015-12-10,10.260000228881836
2015-12-11,10.25
2015-12-14,10.130000114440918
2015-12-15,10.319999694824219
2015-12-16,10.319999694824219
2015-12-17,10.3100004196167
2015-12-18,10.180000305175781
2015-12-21,9.949999809265137
2015-12-22,10.010000228881836
2015-12-23,10.180000305175781
2015-12-24,10.229999542236328
2015-12-28,10.100000381469727
