Date,close
2024-03-27,130.76446533203125
2024-03-28,136.244140625
2024-04-01,141.49464416503906
2024-04-02,139.4821014404297
2024-04-03,136.83193969726562
2024-04-04,125.59366607666016
2024-04-05,122.24609375
2024-04-08,129.47923278808594
2024-04-09,131.6810760498047
2024-04-10,137.85812377929688
2024-04-11,136.06480407714844
2024-04-12,133.50430297851562
2024-04-15,131.2626190185547
2024-04-16,129.58883666992188
2024-04-17,134.25152587890625
2024-04-18,136.71238708496094
2024-04-19,134.60025024414062
2024-04-22,136.18435668945312
2024-04-23,147.28314208984375
2024-04-24,145.63922119140625
2024-04-25,147.76136779785156
2024-04-26,152.50375366210938
2024-04-29,158.42178344726562
2024-04-30,153.14138793945312
2024-05-01,151.10894775390625
2024-05-02,153.26095581054688
2024-05-03,165.64495849609375
2024-05-06,168.51429748535156
2024-05-07,166.74090576171875
2024-05-08,163.393310546875
2024-05-09,165.784423828125
2024-05-10,166.65121459960938
2024-05-13,160.9324493408203
2024-05-14,165.01730346679688
2024-05-15,167.24900817871094
2024-05-16,165.784423828125
2024-05-17,162.0184326171875
2024-05-20,160.35458374023438
2024-05-21,163.32357788085938
2024-05-22,163.24388122558594
2024-05-23,161.07192993164062
2024-05-24,176.77365112304688
2024-05-28,177.4311981201172
2024-05-29,176.6640625
2024-05-30,174.4323272705078
2024-05-31,175.24929809570312
2024-06-03,169.73974609375
2024-06-04,162.43687438964844
2024-06-05,162.88522338867188
2024-06-06,159.71697998046875
2024-06-07,161.48043823242188
2024-06-10,166.02354431152344
2024-06-11,167.607666015625
2024-06-12,176.86329650878906
2024-06-13,175.51829528808594
2024-06-14,169.54049682617188
2024-06-17,168.13572692871094
2024-06-18,178.9057159423828
2024-06-20,176.52455139160156
2024-06-21,175.07992553710938
2024-06-24,177.48101806640625
2024-06-25,180.77877807617188
2024-06-26,179.3341522216797
2024-06-27,175.62789916992188
2024-06-28,170.87554931640625
2024-07-01,166.9003143310547
2024-07-02,169.1818084716797
2024-07-03,172.04119873046875
2024-07-05,175.57806396484375
2024-07-08,173.72494506835938
2024-07-09,172.34010314941406
2024-07-10,179.0651397705078
2024-07-11,176.04635620117188
2024-07-12,179.782470703125
2024-07-15,176.78359985351562
2024-07-16,182.0640106201172
2024-07-17,165.21656799316406
2024-07-18,160.89260864257812
2024-07-19,162.73574829101562
2024-07-22,166.1431121826172
2024-07-23,169.8593292236328
2024-07-24,162.29737854003906
2024-07-25,159.40811157226562
2024-07-26,172.46961975097656
2024-07-29,171.41354370117188
2024-07-30,162.09812927246094
2024-07-31,177.58065795898438
2024-08-01,173.38621520996094
2024-08-02,164.12063598632812
2024-08-05,161.63983154296875
2024-08-06,163.74203491210938
2024-08-07,165.45565795898438
2024-08-08,176.55445861816406
2024-08-09,178.44741821289062
2024-08-12,175.78732299804688
2024-08-13,178.9854278564453
2024-08-14,183.47872924804688
2024-08-15,188.1215057373047
2024-08-16,183.3791046142578
2024-08-19,184.7141571044922
2024-08-20,183.3193359375
2024-08-21,183.578369140625
2024-08-22,185.3119354248047
2024-08-23,182.61195373535156
2024-08-26,181.45626831054688
2024-08-27,184.8636016845703
2024-08-28,183.3193359375
2024-08-29,190.652099609375
2024-08-30,200.25645446777344
2024-09-03,191.8377227783203
2024-09-04,198.8915252685547
2024-09-05,197.70591735839844
2024-09-06,197.59632873535156
2024-09-09,201.06346130371094
2024-09-10,201.2626953125
2024-09-11,208.3762969970703
2024-09-12,214.4736785888672
2024-09-13,224.7554931640625
2024-09-16,229.0794219970703
2024-09-17,236.27273559570312
2024-09-18,234.79818725585938
2024-09-19,243.54571533203125
2024-09-20,244.55198669433594
2024-09-23,250.59951782226562
2024-09-24,254.534912109375
2024-09-25,254.1065216064453
2024-09-26,250.29066467285156
2024-09-27,248.9357147216797
2024-09-30,254.03675842285156
2024-10-01,255.5810089111328
2024-10-02,251.35671997070312
2024-10-03,253.73788452148438
2024-10-04,264.6075134277344
2024-10-07,261.56878662109375
2024-10-08,263.2923889160156
2024-10-09,265.6138000488281
2024-10-10,263.6410827636719
2024-10-11,265.9027099609375
2024-10-14,268.5030517578125
2024-10-15,265.3746643066406
2024-10-16,273.7535400390625
2024-10-17,270.9938049316406
2024-10-18,271.71112060546875
2024-10-21,275.4074401855469
2024-10-22,275.3974914550781
2024-10-23,278.84466552734375
2024-10-24,295.9013366699219
2024-10-25,292.4541320800781
2024-10-28,288.1600341796875
2024-10-29,297.6647644042969
2024-10-30,296.4991149902344
2024-10-31,300.5440673828125
2024-11-01,299.9761962890625
2024-11-04,294.3670349121094
2024-11-05,314.60186767578125
2024-11-06,335.055908203125
2024-11-07,335.53411865234375
2024-11-08,339.9178771972656
2024-11-11,348.1473083496094
2024-11-12,322.5125427246094
2024-11-13,332.0272216796875
2024-11-14,324.8338928222656
2024-11-15,328.5401306152344
2024-11-18,324.1663818359375
2024-11-19,338.7422790527344
2024-11-20,341.5019836425781
2024-11-21,338.59283447265625
2024-11-22,347.86834716796875
2024-11-25,327.76300048828125
2024-11-26,337.6363830566406
2024-11-27,334.0895080566406
2024-11-29,332.8840026855469
2024-12-02,336.29132080078125
2024-12-03,330.692138671875
2024-12-04,342.4783630371094
2024-12-05,346.8421630859375
2024-12-06,345.2281494140625
2024-12-09,334.00982666015625
2024-12-10,326.1789245605469
2024-12-11,342.5281982421875
2024-12-12,328.6895751953125
2024-12-13,330.78179931640625
2024-12-16,336.460693359375
2024-12-17,327.1253967285156
2024-12-18,315.9468994140625
2024-12-19,331.56884765625
2024-12-20,341.6490783691406
2024-12-23,343.90240478515625
2024-12-24,346.2654113769531
2024-12-26,342.057861328125
2024-12-27,332.815185546875
2024-12-30,329.28564453125
2024-12-31,327.9595642089844
2025-01-02,337.9400329589844
2025-01-03,352.98553466796875
2025-01-06,370.22454833984375
2025-01-07,367.4327392578125
2025-01-08,365.3988037109375
2025-01-10,366.0169372558594
2025-01-13,365.727783203125
2025-01-14,381.13226318359375
2025-01-15,385.88818359375
2025-01-16,389.846435546875
2025-01-17,400.2257385253906
2025-01-21,414.7726745605469
2025-01-22,425.8399658203125
2025-01-23,436.41864013671875
2025-01-24,419.24945068359375
2025-01-27,329.0263977050781
2025-01-28,354.072265625
2025-01-29,352.2077941894531
2025-01-30,381.81024169921875
2025-01-31,371.7799072265625
2025-02-03,360.6428527832031
2025-02-04,355.4781188964844
2025-02-05,366.844482421875
2025-02-06,373.7241516113281
2025-02-07,376.8548889160156
2025-02-10,383.8641357421875
2025-02-11,371.7998352050781
2025-02-12,368.55938720703125
2025-02-13,369.21746826171875
2025-02-14,366.50555419921875
2025-02-18,372.1487731933594
2025-02-19,374.0930480957031
2025-02-20,358.6188049316406
2025-02-21,326.91265869140625
2025-02-24,314.97802734375
2025-02-25,316.75274658203125
2025-02-26,334.2509460449219
2025-02-27,325.3173828125
2025-02-28,334.19110107421875
2025-03-03,315.04779052734375
2025-03-04,312.1463928222656
2025-03-05,315.8653564453125
2025-03-06,292.3449401855469
2025-03-07,288.44647216796875
2025-03-10,269.3330383300781
2025-03-11,283.37152099609375
2025-03-12,297.798828125
2025-03-13,299.35418701171875
2025-03-14,312.7047424316406
2025-03-17,330.9806213378906
2025-03-18,317.98907470703125
2025-03-19,334.8092956542969
2025-03-20,335.8362731933594
2025-03-21,332.885009765625
2025-03-24,342.556396484375
2025-03-25,335.2081298828125
2025-03-26,316.7626647949219
2025-03-27,302.1060791015625
2025-03-28,302.0362854003906
2025-03-31,304.3793640136719
2025-04-01,314.7087707519531
2025-04-02,329.8240661621094
2025-04-03,296.7818298339844
2025-04-04,270.6790771484375
2025-04-07,285.2259826660156
2025-04-08,286.0436096191406
2025-04-09,325.8457946777344
2025-04-10,309.0355529785156
2025-04-11,320.4817199707031
2025-04-14,321.3491516113281
2025-04-15,327.59063720703125
2025-04-16,327.19183349609375
2025-04-17,322.8413391113281
2025-04-21,312.394287109375
2025-04-22,325.3558654785156
2025-04-23,335.3539123535156
2025-04-24,359.70050048828125
2025-04-25,371.6043701171875
2025-04-28,369.24951171875
2025-04-29,370.3770751953125
2025-04-30,370.00787353515625
2025-05-01,381.4527282714844
2025-05-02,395.4520263671875
2025-05-05,400.2215576171875
2025-05-06,400.3512878417969
2025-05-07,405.9190368652344
2025-05-08,393.1371154785156
2025-05-09,398.3855895996094
2025-05-12,415.717529296875
2025-05-13,432.38092041015625
2025-05-14,431.8919982910156
2025-05-15,426.0348815917969
2025-05-16,427.12249755859375
2025-05-19,445.62188720703125
2025-05-20,449.0543518066406
2025-05-21,452.0378112792969
2025-05-22,457.81512451171875
2025-05-23,463.3729553222656
2025-05-27,470.4773254394531
2025-05-28,483.9477844238281
2025-05-29,470.1380615234375
2025-05-30,471.9441223144531
2025-06-02,484.0974426269531
2025-06-03,491.89031982421875
2025-06-04,487.0609130859375
2025-06-05,483.24932861328125
2025-06-06,483.9377746582031
2025-06-09,478.9487609863281
2025-06-10,464.2909240722656
2025-06-11,482.4111328125
2025-06-12,486.6019592285156
2025-06-13,477.4021301269531
2025-06-16,486.8114929199219
2025-06-17,487.5898132324219
2025-06-18,489.1164245605469
2025-06-20,485.89349365234375
2025-06-23,498.7851867675781
2025-06-24,509.72119140625
2025-06-25,501.569091796875
2025-06-26,505.70001220703125
2025-06-27,518.5218505859375
2025-06-30,527.9911499023438
2025-07-01,504.8918151855469
2025-07-02,503.9638366699219
2025-07-03,515.9075927734375
2025-07-07,529.11865234375
2025-07-08,528.8392333984375
2025-07-09,534.5966186523438
2025-07-10,538.1787109375
2025-07-11,537.9791259765625
2025-07-14,553.8243408203125
2025-07-15,558.3843994140625
2025-07-16,559.9408569335938
2025-07-17,568.9212036132812
2025-07-18,573.341552734375
2025-07-21,564.9163208007812
2025-07-22,548.026123046875
2025-07-23,627.9255981445312
2025-07-24,622.8743896484375
2025-07-25,643.4583129882812
2025-07-28,646.5228881835938
2025-07-29,631.5591430664062
2025-07-30,653.8499755859375
2025-07-31,659.130615234375
2025-08-01,655.3472900390625
2025-08-04,661.6063232421875
2025-08-05,648.5792236328125
2025-08-06,663.3831787109375
2025-08-07,644.7259521484375
2025-08-08,647.9503784179688
2025-08-11,649.6173706054688
2025-08-12,656.2857055664062
2025-08-13,633.1963500976562
2025-08-14,624.1721801757812
2025-08-15,620.8179931640625
2025-08-18,623.9226684570312
2025-08-19,602.0709838867188
2025-08-20,603.5285034179688
2025-08-21,604.93603515625
2025-08-22,606.0040893554688
2025-08-25,601.25244140625
2025-08-26,624.81103515625
2025-08-27,621.2972412109375
2025-08-28,632.577392578125
2025-08-29,611.8937377929688
