Date,volume
2012-05-18,573576400
2012-05-21,168192700
2012-05-22,101786600
2012-05-23,73600000
2012-05-24,50237200
2012-05-25,37149800
2012-05-29,78063400
2012-05-30,57267900
2012-05-31,111639200
2012-06-01,41855500
2012-06-04,35230300
2012-06-05,42473400
2012-06-06,61489200
2012-06-07,26159500
2012-06-08,38034000
2012-06-11,28219600
2012-06-12,15816800
2012-06-13,17102800
2012-06-14,16855000
2012-06-15,43563800
2012-06-18,42978900
2012-06-19,30849000
2012-06-20,15553600
2012-06-21,21875300
2012-06-22,74834000
2012-06-25,24352900
2012-06-26,24858700
2012-06-27,28568000
2012-06-28,17713300
2012-06-29,19526900
2012-07-02,14122000
2012-07-03,8763600
2012-07-05,10032100
2012-07-06,10945600
2012-07-09,17785200
2012-07-10,14269500
2012-07-11,13030300
2012-07-12,11300700
2012-07-13,8108300
2012-07-16,24672100
2012-07-17,30438600
2012-07-18,16841800
2012-07-19,13685100
2012-07-20,11869100
2012-07-23,12390700
2012-07-24,11539800
2012-07-25,17230200
2012-07-26,64597400
2012-07-27,123102300
2012-07-30,29285900
2012-07-31,56179400
2012-08-01,44604400
2012-08-02,56374500
2012-08-03,80647000
2012-08-06,27778900
2012-08-07,36782900
2012-08-08,29537400
2012-08-09,15610700
2012-08-10,25794700
2012-08-13,24973100
2012-08-14,39308800
2012-08-15,47861100
2012-08-16,157565300
2012-08-17,129293400
2012-08-20,101186600
2012-08-21,70640600
2012-08-22,49892200
2012-08-23,32813700
2012-08-24,29622200
2012-08-27,20704000
2012-08-28,25417000
2012-08-29,16124700
2012-08-30,30647500
2012-08-31,58764200
2012-09-04,46622400
2012-09-05,60781800
2012-09-06,46066500
2012-09-07,36371700
2012-09-10,24797800
2012-09-11,50508200
2012-09-12,121584000
2012-09-13,65041600
2012-09-14,72819800
2012-09-17,50667600
2012-09-18,36760500
2012-09-19,78782800
2012-09-20,57248900
2012-09-21,51218100
2012-09-24,79106500
2012-09-25,46291700
2012-09-26,38271900
2012-09-27,30215900
2012-09-28,65486000
2012-10-01,51262700
2012-10-02,29341400
2012-10-03,32000100
2012-10-04,46892100
2012-10-05,40529300
2012-10-08,32236700
2012-10-09,27161800
2012-10-10,39321800
2012-10-11,21817300
2012-10-12,18809400
2012-10-15,20189700
2012-10-16,21834700
2012-10-17,44074500
2012-10-18,52157400
2012-10-19,34835000
2012-10-22,32447300
2012-10-23,78381200
2012-10-24,228949900
2012-10-25,76142000
2012-10-26,73175800
2012-10-31,99378200
2012-11-01,37713900
2012-11-02,38344400
2012-11-05,31806700
2012-11-06,29062700
2012-11-07,33396800
2012-11-08,34254600
2012-11-09,42295500
2012-11-12,67349200
2012-11-13,71775100
2012-11-14,229751000
