Date,low
2020-01-13,9.899999618530273
2020-01-14,9.899999618530273
2020-01-15,9.899999618530273
2020-01-16,9.880000114440918
2020-01-17,10.024999618530273
2020-01-21,9.9399995803833
2020-01-22,9.9399995803833
2020-01-23,9.949999809265137
2020-01-24,9.949999809265137
2020-01-27,9.84000015258789
2020-01-28,9.920000076293945
2020-01-29,9.90999984741211
2020-01-30,9.920000076293945
2020-01-31,9.920000076293945
2020-02-03,9.920000076293945
2020-02-04,9.899999618530273
2020-02-05,9.920000076293945
2020-02-06,9.920000076293945
2020-02-07,10.0
2020-02-10,10.0
2020-02-11,10.0
2020-02-12,10.050000190734863
2020-02-13,9.960000038146973
2020-02-14,9.960000038146973
2020-02-18,9.970000267028809
2020-02-19,9.960000038146973
2020-02-20,10.071000099182129
2020-02-21,10.071000099182129
2020-02-24,10.071000099182129
2020-02-25,10.071000099182129
2020-02-26,10.071000099182129
2020-02-27,10.071000099182129
2020-02-28,10.071000099182129
2020-03-02,10.071000099182129
2020-03-03,10.071000099182129
2020-03-04,9.970000267028809
2020-03-05,9.970000267028809
2020-03-06,9.970000267028809
2020-03-09,9.899999618530273
2020-03-10,9.90999984741211
2020-03-11,9.880000114440918
2020-03-12,9.800000190734863
2020-03-13,9.800000190734863
2020-03-16,9.600000381469727
2020-03-17,9.449999809265137
2020-03-18,9.149999618530273
2020-03-19,9.199999809265137
2020-03-20,9.270000457763672
2020-03-23,9.350000381469727
2020-03-24,9.449999809265137
2020-03-25,9.5
2020-03-26,9.630000114440918
2020-03-27,9.65999984741211
2020-03-30,9.65999984741211
2020-03-31,9.65999984741211
2020-04-01,9.819000244140625
2020-04-02,9.850000381469727
2020-04-03,9.824999809265137
2020-04-06,9.824999809265137
2020-04-07,9.824999809265137
2020-04-08,9.949999809265137
2020-04-09,9.949999809265137
2020-04-13,9.949999809265137
2020-04-14,9.949999809265137
2020-04-15,9.949999809265137
2020-04-16,9.949999809265137
2020-04-17,9.75
2020-04-20,9.850000381469727
2020-04-21,9.850000381469727
