Date,volume
2018-07-03,200
2018-07-05,0
2018-07-06,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,0
2018-07-16,0
2018-07-17,0
2018-07-18,0
2018-07-19,300
2018-07-20,0
2018-07-23,200
2018-07-24,0
2018-07-25,0
2018-07-26,100
2018-07-27,0
2018-07-30,0
2018-07-31,0
2018-08-01,400
2018-08-02,0
2018-08-03,0
2018-08-06,0
2018-08-07,100
2018-08-08,0
2018-08-09,0
2018-08-10,200
2018-08-13,0
2018-08-14,0
2018-08-15,0
2018-08-16,0
2018-08-17,0
2018-08-20,1100
2018-08-21,0
2018-08-22,0
2018-08-23,0
2018-08-24,0
2018-08-27,4500
2018-08-28,0
2018-08-29,0
2018-08-30,0
2018-08-31,0
2018-09-04,55000
2018-09-05,0
2018-09-06,0
2018-09-07,0
2018-09-10,0
2018-09-11,0
2018-09-12,0
2018-09-13,0
2018-09-14,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,0
2018-09-24,100
2018-09-25,0
2018-09-26,0
2018-09-27,0
2018-09-28,0
2018-10-01,0
2018-10-02,0
2018-10-03,0
2018-10-04,0
2018-10-05,0
2018-10-08,0
2018-10-09,0
2018-10-10,0
2018-10-11,0
2018-10-12,0
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,0
2018-10-22,0
2018-10-23,0
2018-10-24,0
2018-10-25,0
2018-10-26,0
2018-10-29,0
2018-10-30,0
2018-10-31,0
2018-11-01,0
2018-11-02,0
2018-11-05,600
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-12,0
2018-11-13,0
2018-11-14,0
2018-11-15,0
2018-11-16,0
2018-11-19,0
2018-11-20,0
2018-11-21,0
2018-11-23,0
2018-11-26,0
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-03,0
2018-12-04,0
2018-12-06,0
2018-12-07,6700
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-24,0
2018-12-26,0
