Date,low
2019-07-25,9.800000190734863
2019-07-26,9.800000190734863
2019-07-29,9.800000190734863
2019-07-30,9.800000190734863
2019-07-31,9.800000190734863
2019-08-01,9.800000190734863
2019-08-02,9.800000190734863
2019-08-05,9.800000190734863
2019-08-06,9.800000190734863
2019-08-07,9.760000228881836
2019-08-08,9.760000228881836
2019-08-09,9.760000228881836
2019-08-12,9.760000228881836
2019-08-13,9.770000457763672
2019-08-14,9.770000457763672
2019-08-15,9.770000457763672
2019-08-16,9.779999732971191
2019-08-19,9.779999732971191
2019-08-20,9.84000015258789
2019-08-21,9.850000381469727
2019-08-22,9.850000381469727
2019-08-23,9.850000381469727
2019-08-26,9.850000381469727
2019-08-27,9.850000381469727
2019-08-28,9.850000381469727
2019-08-29,9.850000381469727
2019-08-30,9.850000381469727
2019-09-03,9.850000381469727
2019-09-04,9.850000381469727
2019-09-05,9.850000381469727
2019-09-06,9.850000381469727
2019-09-09,9.850000381469727
2019-09-10,9.850000381469727
2019-09-11,9.850000381469727
2019-09-12,9.850000381469727
2019-09-13,9.850000381469727
2019-09-16,9.850000381469727
2019-09-17,9.850000381469727
2019-09-18,9.850000381469727
2019-09-19,9.899999618530273
2019-09-20,9.84000015258789
2019-09-23,9.850000381469727
2019-09-24,9.850000381469727
2019-09-25,9.850000381469727
2019-09-26,9.850000381469727
2019-09-27,9.850000381469727
2019-09-30,9.850000381469727
2019-10-01,9.906000137329102
2019-10-02,9.920000076293945
2019-10-03,9.890000343322754
2019-10-04,9.895999908447266
2019-10-07,9.920000076293945
2019-10-08,9.920000076293945
2019-10-09,9.920000076293945
2019-10-10,9.920000076293945
2019-10-11,9.920000076293945
2019-10-14,9.920000076293945
2019-10-15,9.850000381469727
2019-10-16,9.850000381469727
2019-10-17,9.899999618530273
2019-10-18,9.899999618530273
2019-10-21,9.899999618530273
2019-10-22,9.869999885559082
2019-10-23,9.869999885559082
2019-10-24,9.869999885559082
2019-10-25,9.850000381469727
2019-10-28,9.850000381469727
2019-10-29,9.930000305175781
2019-10-30,9.850000381469727
2019-10-31,10.069999694824219
2019-11-01,10.079999923706055
2019-11-04,10.0600004196167
2019-11-05,10.0600004196167
2019-11-06,10.050000190734863
2019-11-07,10.039999961853027
2019-11-08,10.069999694824219
2019-11-11,10.086000442504883
2019-11-12,10.086000442504883
2019-11-13,10.086000442504883
2019-11-14,10.039999961853027
2019-11-15,10.09000015258789
2019-11-18,10.039999961853027
2019-11-19,10.039999961853027
2019-11-20,10.043000221252441
2019-11-21,10.043000221252441
2019-11-22,10.043000221252441
2019-11-25,10.039999961853027
2019-11-26,10.039999961853027
2019-11-27,10.039999961853027
2019-11-29,10.050000190734863
2019-12-02,10.074999809265137
2019-12-03,10.074999809265137
2019-12-04,10.074999809265137
2019-12-05,10.0600004196167
2019-12-06,10.0600004196167
2019-12-09,10.0600004196167
2019-12-10,10.09000015258789
2019-12-11,10.079999923706055
2019-12-12,10.074000358581543
2019-12-13,10.09000015258789
2019-12-16,10.079999923706055
2019-12-17,10.086000442504883
2019-12-18,10.09000015258789
2019-12-19,10.149999618530273
2019-12-20,10.170000076293945
2019-12-23,10.65999984741211
2019-12-24,10.819999694824219
2019-12-26,10.720000267028809
2019-12-27,10.600000381469727
2019-12-30,10.609999656677246
2019-12-31,10.59000015258789
2020-01-02,10.649999618530273
2020-01-03,10.609999656677246
2020-01-06,10.692000389099121
2020-01-07,10.869999885559082
2020-01-08,10.883999824523926
2020-01-09,11.34000015258789
2020-01-10,11.982000350952148
2020-01-13,11.550000190734863
2020-01-14,11.819999694824219
2020-01-15,11.989999771118164
2020-01-16,12.9399995803833
2020-01-17,12.760000228881836
2020-01-21,13.319999694824219
