Date,volume
2015-07-06,5866600
2015-07-07,7359000
2015-07-08,5387700
2015-07-09,3760100
2015-07-10,4472800
2015-07-13,7626000
2015-07-14,4653300
2015-07-15,13072800
2015-07-16,21348500
2015-07-17,45720200
2015-07-20,52286500
2015-07-21,32954600
2015-07-22,25363900
2015-07-23,19250200
2015-07-24,14274300
2015-07-27,16179900
2015-07-28,18986000
2015-07-29,11788400
2015-07-30,13845100
2015-07-31,12480600
2015-08-03,15126600
2015-08-04,10992200
2015-08-05,9463100
2015-08-06,7324100
2015-08-07,8331300
2015-08-10,7998900
2015-08-11,8184000
2015-08-12,21350600
2015-08-13,7863500
2015-08-14,6271100
2015-08-17,4931700
2015-08-18,4678800
2015-08-19,6923400
2015-08-20,10645700
2015-08-21,16824100
2015-08-24,19676600
2015-08-25,15557100
2015-08-26,25350400
2015-08-27,18909600
2015-08-28,8344800
2015-08-31,12123800
2015-09-01,13376000
2015-09-02,7521000
2015-09-03,6683800
2015-09-04,7483100
2015-09-08,7674500
2015-09-09,10946900
2015-09-10,12134500
2015-09-11,9184200
2015-09-14,7897700
2015-09-15,11874900
2015-09-16,7183900
2015-09-17,7846800
2015-09-18,16488100
2015-09-21,12736500
2015-09-22,8538000
2015-09-23,5405500
2015-09-24,6544500
2015-09-25,6566800
2015-09-28,7407300
2015-09-29,12008100
2015-09-30,13672000
2015-10-01,9657000
2015-10-02,7609800
2015-10-05,6119100
2015-10-06,7409800
2015-10-07,6969600
2015-10-08,9281500
2015-10-09,5911400
2015-10-12,3915500
2015-10-13,8787700
2015-10-14,8198300
2015-10-15,9103200
2015-10-16,5390700
2015-10-19,5855700
2015-10-20,6084200
2015-10-21,9054500
2015-10-22,8735500
2015-10-23,8909100
2015-10-26,11554600
2015-10-27,8502400
2015-10-28,11634300
2015-10-29,25137300
2015-10-30,13409200
2015-11-02,11254900
2015-11-03,12025200
2015-11-04,12226800
2015-11-05,9068900
2015-11-06,10256800
2015-11-09,11571500
2015-11-10,36384400
2015-11-11,12762500
2015-11-12,11835900
2015-11-13,7364400
2015-11-16,6734500
2015-11-17,7344900
2015-11-18,8323100
2015-11-19,5041300
2015-11-20,4543400
2015-11-23,6961000
2015-11-24,8390100
2015-11-25,3881800
2015-11-27,2549400
2015-11-30,9357300
2015-12-01,14893900
2015-12-02,5762400
2015-12-03,7311900
2015-12-04,10664300
2015-12-07,4918000
2015-12-08,7420800
2015-12-09,7381700
2015-12-10,6949700
2015-12-11,8309200
2015-12-14,5784400
2015-12-15,11709900
2015-12-16,7076300
2015-12-17,6454100
2015-12-18,13745900
2015-12-21,5856000
2015-12-22,6030900
2015-12-23,7579500
2015-12-24,2133400
2015-12-28,4930100
2015-12-29,3436600
2015-12-30,4106700
2015-12-31,4481900
2016-01-04,12287700
2016-01-05,11227700
2016-01-06,8441300
2016-01-07,11041100
2016-01-08,7848800
2016-01-11,8937400
2016-01-12,7854000
2016-01-13,8069400
2016-01-14,7749500
2016-01-15,12174400
2016-01-19,6674700
2016-01-20,13170600
2016-01-21,9978900
2016-01-22,9444000
2016-01-25,7591800
2016-01-26,8617000
2016-01-27,12711700
2016-01-28,20378600
2016-01-29,21201100
2016-02-01,17356000
2016-02-02,17310600
2016-02-03,14543100
2016-02-04,10212300
2016-02-05,16245800
2016-02-08,20629000
2016-02-09,16439200
2016-02-10,8636500
2016-02-11,13170100
2016-02-12,9437100
2016-02-16,9152400
2016-02-17,12070600
2016-02-18,9022100
2016-02-19,9652800
2016-02-22,10476200
2016-02-23,8415200
2016-02-24,8090600
2016-02-25,5209500
2016-02-26,8595000
2016-02-29,23939900
2016-03-01,14085300
2016-03-02,12895900
2016-03-03,7656900
2016-03-04,7200100
2016-03-07,5327200
2016-03-08,6012700
2016-03-09,4990500
2016-03-10,7655700
2016-03-11,9539500
2016-03-14,5299700
2016-03-15,5013900
2016-03-16,6363500
2016-03-17,9789600
2016-03-18,15132400
2016-03-21,13432400
2016-03-22,10552300
2016-03-23,8104700
2016-03-24,15040600
2016-03-28,6192900
2016-03-29,5694000
2016-03-30,5246800
2016-03-31,8087000
2016-04-01,6982000
2016-04-04,5381300
2016-04-05,5364800
2016-04-06,5526200
2016-04-07,7294500
2016-04-08,7822300
2016-04-11,5428900
2016-04-12,7677100
2016-04-13,7082400
2016-04-14,4590200
2016-04-15,5239600
2016-04-18,6433000
2016-04-19,5915800
2016-04-20,7723500
2016-04-21,5539400
2016-04-22,6433900
2016-04-25,7934200
2016-04-26,5271200
2016-04-27,12727600
2016-04-28,17800000
2016-04-29,10001400
2016-05-02,6777500
2016-05-03,9146600
2016-05-04,8121600
2016-05-05,7127200
2016-05-06,6566900
2016-05-09,5861000
2016-05-10,6588700
2016-05-11,5995500
2016-05-12,6323100
2016-05-13,5885900
2016-05-16,10316000
2016-05-17,10746100
2016-05-18,10393500
2016-05-19,17041300
2016-05-20,12496600
2016-05-23,9083800
2016-05-24,7555200
2016-05-25,6538900
2016-05-26,5894700
2016-05-27,5863600
2016-05-31,12231400
2016-06-01,5458500
2016-06-02,4658600
2016-06-03,4986000
2016-06-06,5065900
2016-06-07,6324400
2016-06-08,8666600
2016-06-09,10206700
2016-06-10,7741400
2016-06-13,8216000
2016-06-14,10281900
2016-06-15,7092000
2016-06-16,6106000
2016-06-17,7947100
2016-06-20,7789600
2016-06-21,12816100
2016-06-22,9292400
2016-06-23,4808700
2016-06-24,17647200
2016-06-27,11195800
2016-06-28,12408200
2016-06-29,9520400
2016-06-30,9153000
2016-07-01,7260400
2016-07-05,5321100
2016-07-06,7821300
2016-07-07,7326700
2016-07-08,6828600
2016-07-11,10096200
2016-07-12,9997200
2016-07-13,12458500
2016-07-14,9683500
2016-07-15,8140600
2016-07-18,7877400
2016-07-19,8120100
2016-07-20,11189100
2016-07-21,13363300
2016-07-22,36397300
2016-07-25,16904100
2016-07-26,10279200
2016-07-27,8894200
2016-07-28,5111300
2016-07-29,6841500
2016-08-01,5473900
2016-08-02,5997700
2016-08-03,7663800
2016-08-04,7507800
2016-08-05,7670400
2016-08-08,6101300
2016-08-09,5049100
2016-08-10,5546800
2016-08-11,5999400
2016-08-12,6527900
2016-08-15,4548200
2016-08-16,6170800
2016-08-17,5264000
2016-08-18,3880600
2016-08-19,5107900
2016-08-22,10704300
2016-08-23,6066400
2016-08-24,5914200
2016-08-25,5132100
2016-08-26,4177700
2016-08-29,4780700
2016-08-30,6873600
2016-08-31,7166300
2016-09-01,10412200
2016-09-02,6726900
2016-09-06,6416900
2016-09-07,10817700
2016-09-08,12037300
2016-09-09,10747100
2016-09-12,8635000
2016-09-13,17924900
2016-09-14,13042100
2016-09-15,12702800
2016-09-16,11909400
2016-09-19,7574500
2016-09-20,5563300
2016-09-21,5378400
2016-09-22,5691000
2016-09-23,6234600
2016-09-26,9054400
2016-09-27,8674100
2016-09-28,6751200
2016-09-29,7953000
2016-09-30,8685600
2016-10-03,6925000
