Date,low
2000-05-05,213.75
2000-05-08,213.75
2000-05-09,213.75
2000-05-10,213.75
2000-05-11,213.75
2000-05-12,185.625
2000-05-15,213.75
2000-05-16,213.75
2000-05-17,213.75
2000-05-18,185.625
2000-05-19,196.875
2000-05-22,196.875
2000-05-23,196.875
2000-05-24,180.0
2000-05-25,174.375
2000-05-26,174.375
2000-05-30,174.375
2000-05-31,168.75
2000-06-01,230.625
2000-06-02,241.875
2000-06-05,275.625
2000-06-06,270.0
2000-06-07,270.0
2000-06-08,270.0
2000-06-09,315.0
2000-06-12,303.75
2000-06-13,298.125
2000-06-14,360.0
2000-06-15,292.5
2000-06-16,315.0
2000-06-19,315.0
2000-06-20,303.75
2000-06-21,315.0
2000-06-22,315.0
2000-06-23,315.0
2000-06-26,315.0
2000-06-27,360.0
2000-06-28,360.0
2000-06-29,286.875
2000-06-30,303.75
2000-07-03,326.25
2000-07-05,303.75
2000-07-06,343.125
2000-07-07,337.5
2000-07-10,354.375
2000-07-11,360.0
2000-07-12,326.25
2000-07-13,354.375
2000-07-14,331.875
2000-07-17,348.75
2000-07-18,343.125
2000-07-19,343.125
2000-07-20,337.5
2000-07-21,326.25
2000-07-24,303.75
2000-07-25,303.75
2000-07-26,286.875
2000-07-27,303.75
2000-07-28,286.875
2000-07-31,292.5
2000-08-01,292.5
2000-08-02,337.5
2000-08-03,337.5
2000-08-04,326.25
2000-08-07,292.5
2000-08-08,303.75
2000-08-09,303.75
2000-08-10,298.125
2000-08-11,337.5
2000-08-14,292.5
2000-08-15,303.75
2000-08-16,292.5
2000-08-17,292.5
2000-08-18,303.75
2000-08-21,298.125
2000-08-22,326.25
2000-08-23,292.5
2000-08-24,292.5
2000-08-25,326.25
2000-08-28,348.75
2000-08-29,326.25
2000-08-30,365.625
2000-08-31,343.125
2000-09-01,365.625
2000-09-05,348.75
2000-09-06,331.875
2000-09-07,326.25
2000-09-08,343.125
2000-09-11,337.5
2000-09-12,343.125
2000-09-13,343.125
2000-09-14,315.0
2000-09-15,303.75
2000-09-18,360.0
2000-09-19,337.5
2000-09-20,331.875
2000-09-21,343.125
2000-09-22,360.0
2000-09-25,320.625
2000-09-26,348.75
2000-09-27,337.5
2000-09-28,326.25
2000-09-29,315.0
2000-10-02,331.875
2000-10-03,315.0
2000-10-04,309.375
2000-10-05,315.0
2000-10-06,298.125
2000-10-09,298.125
2000-10-10,303.75
2000-10-11,309.375
2000-10-12,281.25
2000-10-13,286.875
2000-10-16,275.625
2000-10-17,275.625
2000-10-18,270.0
2000-10-19,253.125
2000-10-20,253.125
2000-10-23,236.25
2000-10-24,253.125
2000-10-25,247.5
2000-10-26,236.25
2000-10-27,241.875
2000-10-30,236.25
2000-10-31,236.25
2000-11-01,247.5
2000-11-02,236.25
2000-11-03,236.25
2000-11-06,225.0
2000-11-07,236.25
2000-11-08,270.0
2000-11-09,258.75
2000-11-10,264.375
2000-11-13,236.25
2000-11-14,236.25
2000-11-15,236.25
2000-11-16,236.25
2000-11-17,241.875
2000-11-20,241.875
2000-11-21,241.875
2000-11-22,241.875
2000-11-24,241.875
2000-11-27,247.5
2000-11-28,241.875
2000-11-29,241.875
2000-11-30,241.875
2000-12-01,241.875
2000-12-04,241.875
2000-12-05,236.25
2000-12-06,236.25
2000-12-07,264.375
2000-12-08,230.625
2000-12-11,225.0
2000-12-12,247.5
2000-12-13,225.0
2000-12-14,213.75
2000-12-15,213.75
2000-12-18,213.75
2000-12-19,213.75
2000-12-20,219.375
2000-12-21,213.75
2000-12-22,202.5
2000-12-26,202.5
2000-12-27,191.25
2000-12-28,185.625
2000-12-29,208.125
2001-01-02,270.0
2001-01-03,236.25
2001-01-04,236.25
2001-01-05,236.25
2001-01-08,236.25
2001-01-09,236.25
2001-01-10,236.25
2001-01-11,236.25
2001-01-12,236.25
2001-01-16,236.25
2001-01-17,236.25
2001-01-18,225.0
2001-01-19,225.0
2001-01-22,225.0
2001-01-23,225.0
2001-01-24,225.0
2001-01-25,213.75
2001-01-26,213.75
2001-01-29,213.75
2001-01-30,213.75
2001-01-31,213.75
2001-02-01,247.5
2001-02-02,247.5
2001-02-05,247.5
2001-02-06,208.125
2001-02-07,208.125
2001-02-08,208.125
2001-02-09,208.125
2001-02-12,191.25
2001-02-13,191.25
2001-02-14,180.0
2001-02-15,196.875
2001-02-16,185.625
2001-02-20,196.875
2001-02-21,180.0
2001-02-22,180.0
2001-02-23,180.0
2001-02-26,180.0
2001-02-27,180.0
2001-02-28,168.75
2001-03-01,168.75
2001-03-02,168.75
2001-03-05,174.375
2001-03-06,174.375
2001-03-07,174.375
2001-03-08,174.375
2001-03-09,174.375
2001-03-12,163.125
2001-03-13,163.125
2001-03-14,180.0
2001-03-15,180.0
2001-03-16,168.75
2001-03-19,163.125
2001-03-20,163.125
2001-03-21,163.125
2001-03-22,146.25
2001-03-23,135.0
2001-03-26,135.0
2001-03-27,157.5
2001-03-28,157.5
2001-03-29,146.25
2001-03-30,140.625
2001-04-02,140.625
2001-04-03,140.625
2001-04-04,146.25
2001-04-05,146.25
2001-04-06,140.625
2001-04-09,144.0
2001-04-10,169.1999969482422
2001-04-11,172.8000030517578
2001-04-12,172.8000030517578
2001-04-16,172.8000030517578
2001-04-17,187.1999969482422
2001-04-18,288.0
2001-04-19,291.6000061035156
2001-04-20,288.0
2001-04-23,302.3999938964844
2001-04-24,324.0
2001-04-25,316.79998779296875
2001-04-26,334.79998779296875
2001-04-27,316.79998779296875
2001-04-30,324.0
2001-05-01,356.3999938964844
2001-05-02,356.3999938964844
2001-05-03,356.3999938964844
2001-05-04,360.0
2001-05-07,360.0
2001-05-08,370.79998779296875
2001-05-09,363.6000061035156
2001-05-10,360.0
2001-05-11,363.6000061035156
2001-05-14,360.0
2001-05-15,356.3999938964844
2001-05-16,345.6000061035156
2001-05-17,367.20001220703125
2001-05-18,327.6000061035156
2001-05-21,320.3999938964844
2001-05-22,320.3999938964844
2001-05-23,316.79998779296875
2001-05-24,291.6000061035156
2001-05-25,291.6000061035156
2001-05-29,295.20001220703125
2001-05-30,295.20001220703125
2001-05-31,291.6000061035156
2001-06-01,324.0
2001-06-04,324.0
2001-06-05,298.79998779296875
2001-06-06,320.3999938964844
2001-06-07,338.3999938964844
2001-06-08,360.0
2001-06-11,363.6000061035156
2001-06-12,320.3999938964844
2001-06-13,324.0
