Date,high
2016-11-16,34.900001525878906
2016-11-17,34.900001525878906
2016-11-18,34.900001525878906
2016-11-21,31.5
2016-11-22,45.0
2016-11-23,35.5
2016-11-25,35.0
2016-11-28,35.0
2016-11-29,35.0
2016-11-30,35.0
2016-12-01,35.0
2016-12-02,35.0
2016-12-05,35.0
2016-12-06,35.0
2016-12-07,35.0
2016-12-08,35.0
2016-12-09,35.0
2016-12-12,35.0
2016-12-13,35.0
2016-12-14,35.0
2016-12-15,35.0
2016-12-16,35.0
2016-12-19,35.0
2016-12-20,35.0
2016-12-21,35.0
2016-12-22,35.400001525878906
2016-12-23,35.0
2016-12-27,35.0
2016-12-28,35.0
2016-12-29,35.0
2016-12-30,35.0
2017-01-03,35.5
2017-01-04,35.5
2017-01-05,35.5
2017-01-06,35.5
2017-01-09,35.5
2017-01-10,35.0
2017-01-11,35.0
2017-01-12,35.0
2017-01-13,35.0
2017-01-17,35.0
2017-01-18,35.0
2017-01-19,35.0
2017-01-20,35.0
2017-01-23,35.0
2017-01-24,35.0
2017-01-25,35.0
2017-01-26,35.0
2017-01-27,35.0
2017-01-30,30.0
2017-01-31,30.0
2017-02-01,40.0
2017-02-02,42.5
2017-02-03,42.5
2017-02-06,40.0
2017-02-07,42.5
2017-02-08,42.5
2017-02-09,42.5
2017-02-10,42.5
2017-02-13,42.5
2017-02-14,42.5
2017-02-15,42.5
2017-02-16,42.5
2017-02-17,42.5
2017-02-21,42.5
2017-02-22,42.5
2017-02-23,42.5
2017-02-24,42.5
2017-02-27,42.5
2017-02-28,42.5
2017-03-01,42.5
2017-03-02,42.5
2017-03-03,42.5
2017-03-06,42.5
2017-03-07,42.5
2017-03-08,42.5
2017-03-09,42.5
2017-03-10,42.5
2017-03-13,42.5
2017-03-14,42.5
2017-03-15,42.5
2017-03-16,42.5
2017-03-17,35.5
2017-03-20,45.0
2017-03-21,45.0
2017-03-22,45.0
2017-03-23,50.0
2017-03-24,50.0
2017-03-27,50.0
2017-03-28,50.0
2017-03-29,50.0
2017-03-30,50.0
2017-03-31,50.0
2017-04-03,50.0
2017-04-04,40.0
2017-04-05,40.0
2017-04-06,40.0
2017-04-07,40.0
2017-04-10,40.0
2017-04-11,40.0
2017-04-12,40.0
2017-04-13,27.899999618530273
2017-04-17,45.0
2017-04-18,45.0
2017-04-19,45.0
2017-04-20,45.0
2017-04-21,45.0
2017-04-24,45.0
2017-04-25,45.0
2017-04-26,45.0
2017-04-27,45.0
2017-04-28,45.0
2017-05-01,45.0
2017-05-02,45.0
2017-05-03,40.0
2017-05-04,40.0
2017-05-05,40.0
2017-05-08,40.0
2017-05-09,40.0
2017-05-10,39.0
2017-05-11,39.0
2017-05-12,39.0
2017-05-15,39.0
2017-05-16,39.0
2017-05-17,39.0
2017-05-18,39.0
2017-05-19,39.0
2017-05-22,39.0
2017-05-23,34.5
2017-05-24,34.5
2017-05-25,34.5
2017-05-26,34.5
2017-05-30,34.5
2017-05-31,34.5
2017-06-01,34.5
2017-06-02,34.5
2017-06-05,34.5
2017-06-06,34.5
2017-06-07,34.5
2017-06-08,34.5
2017-06-09,34.5
2017-06-12,34.5
2017-06-13,34.5
2017-06-14,34.5
2017-06-15,34.5
2017-06-16,34.5
2017-06-19,34.5
2017-06-20,34.5
2017-06-21,34.5
2017-06-22,34.5
2017-06-23,34.5
2017-06-26,34.5
2017-06-27,34.5
2017-06-28,34.5
2017-06-29,34.5
2017-06-30,34.5
2017-07-03,34.5
2017-07-05,34.5
2017-07-06,34.5
2017-07-07,34.5
2017-07-10,34.5
2017-07-11,34.5
2017-07-12,34.5
2017-07-13,34.5
2017-07-14,34.5
2017-07-17,34.5
2017-07-18,34.5
2017-07-19,34.5
2017-07-20,34.5
2017-07-21,34.5
2017-07-24,34.5
2017-07-25,34.5
2017-07-26,34.5
2017-07-27,34.5
2017-07-28,34.5
2017-07-31,34.5
2017-08-01,34.5
2017-08-02,34.5
2017-08-03,34.5
2017-08-04,34.5
2017-08-07,34.5
2017-08-08,34.5
2017-08-09,34.5
2017-08-10,34.5
2017-08-11,34.5
2017-08-14,34.5
2017-08-15,34.5
2017-08-16,34.5
2017-08-17,34.5
2017-08-18,34.5
2017-08-21,34.5
2017-08-22,34.5
2017-08-23,34.5
2017-08-24,34.5
2017-08-25,34.5
2017-08-28,34.5
2017-08-29,34.5
2017-08-30,34.5
2017-08-31,34.5
2017-09-01,34.5
2017-09-05,34.5
2017-09-06,34.5
2017-09-07,34.5
2017-09-08,34.5
2017-09-11,34.5
2017-09-12,34.5
2017-09-13,34.5
2017-09-14,34.5
2017-09-15,34.5
2017-09-18,34.5
2017-09-19,34.5
2017-09-20,34.5
2017-09-21,34.5
2017-09-22,34.5
2017-09-25,34.5
2017-09-26,34.5
2017-09-27,34.5
2017-09-28,34.5
2017-09-29,34.5
2017-10-02,34.5
2017-10-03,28.0
2017-10-04,28.0
2017-10-05,33.79999923706055
2017-10-06,26.299999237060547
2017-10-09,29.899999618530273
2017-10-10,29.899999618530273
2017-10-11,29.899999618530273
2017-10-12,29.899999618530273
2017-10-13,29.899999618530273
2017-10-16,25.399999618530273
2017-10-17,24.5
2017-10-18,24.5
2017-10-19,24.5
2017-10-20,24.5
2017-10-23,24.5
2017-10-24,24.5
2017-10-25,24.5
2017-10-26,24.5
2017-10-27,34.400001525878906
2017-10-30,34.400001525878906
2017-10-31,34.400001525878906
2017-11-01,34.400001525878906
2017-11-02,17.5
2017-11-03,17.5
2017-11-06,17.5
2017-11-07,24.0
2017-11-08,24.0
2017-11-09,24.0
2017-11-10,24.0
2017-11-13,24.0
2017-11-14,24.0
2017-11-15,24.0
2017-11-16,24.0
2017-11-17,24.0
2017-11-20,24.0
2017-11-21,24.0
2017-11-22,24.0
2017-11-24,17.5
2017-11-27,40.0
2017-11-28,24.399999618530273
2017-11-29,24.399999618530273
2017-11-30,24.399999618530273
2017-12-01,24.399999618530273
2017-12-04,24.399999618530273
2017-12-05,24.399999618530273
2017-12-06,24.399999618530273
2017-12-07,24.399999618530273
2017-12-08,24.399999618530273
2017-12-11,24.399999618530273
2017-12-12,24.399999618530273
2017-12-13,24.399999618530273
2017-12-14,17.5
2017-12-15,24.399999618530273
2017-12-18,24.399999618530273
2017-12-19,24.399999618530273
2017-12-20,24.399999618530273
2017-12-21,24.399999618530273
2017-12-22,24.399999618530273
2017-12-26,24.399999618530273
2017-12-27,24.399999618530273
2017-12-28,24.399999618530273
2017-12-29,24.399999618530273
2018-01-02,24.399999618530273
2018-01-03,24.399999618530273
2018-01-04,24.399999618530273
2018-01-05,24.399999618530273
2018-01-08,24.399999618530273
2018-01-09,24.399999618530273
2018-01-10,24.399999618530273
2018-01-11,24.399999618530273
2018-01-12,24.399999618530273
2018-01-16,24.399999618530273
2018-01-17,24.399999618530273
2018-01-18,24.399999618530273
2018-01-19,24.399999618530273
2018-01-22,24.399999618530273
2018-01-23,24.399999618530273
2018-01-24,24.399999618530273
2018-01-25,24.399999618530273
2018-01-26,24.399999618530273
2018-01-29,24.399999618530273
2018-01-30,24.399999618530273
2018-01-31,24.399999618530273
2018-02-01,24.399999618530273
2018-02-02,24.399999618530273
2018-02-05,24.399999618530273
2018-02-06,24.399999618530273
2018-02-07,24.399999618530273
2018-02-08,24.399999618530273
2018-02-09,24.399999618530273
2018-02-12,24.399999618530273
2018-02-13,24.399999618530273
2018-02-14,16.0
2018-02-15,15.899999618530273
2018-02-16,9.0
2018-02-20,15.899999618530273
2018-02-21,15.899999618530273
2018-02-22,15.899999618530273
2018-02-23,15.899999618530273
2018-02-26,15.899999618530273
2018-02-27,15.899999618530273
2018-02-28,15.899999618530273
2018-03-01,15.899999618530273
2018-03-02,15.899999618530273
2018-03-05,15.899999618530273
2018-03-06,15.899999618530273
2018-03-07,15.899999618530273
2018-03-08,15.899999618530273
2018-03-09,15.899999618530273
2018-03-12,15.899999618530273
2018-03-13,15.899999618530273
2018-03-14,15.899999618530273
2018-03-15,15.899999618530273
2018-03-16,12.0
2018-03-19,15.699999809265137
2018-03-20,15.699999809265137
2018-03-21,15.699999809265137
2018-03-22,15.699999809265137
2018-03-23,15.699999809265137
2018-03-26,15.699999809265137
2018-03-27,15.699999809265137
2018-03-28,15.699999809265137
2018-03-29,15.699999809265137
2018-04-02,15.699999809265137
2018-04-03,15.699999809265137
2018-04-04,15.699999809265137
2018-04-05,15.699999809265137
2018-04-06,20.0
2018-04-09,20.0
2018-04-10,20.0
2018-04-11,20.0
2018-04-12,20.0
2018-04-13,20.0
2018-04-16,20.0
2018-04-17,19.899999618530273
2018-04-18,19.899999618530273
2018-04-19,19.899999618530273
2018-04-20,19.899999618530273
2018-04-23,19.899999618530273
2018-04-24,15.0
2018-04-25,19.950000762939453
2018-04-26,19.950000762939453
2018-04-27,19.950000762939453
2018-04-30,19.950000762939453
2018-05-01,19.950000762939453
2018-05-02,19.899999618530273
2018-05-03,27.399999618530273
2018-05-04,27.399999618530273
2018-05-07,27.5
2018-05-08,27.5
2018-05-09,27.5
2018-05-10,27.5
2018-05-11,30.100000381469727
2018-05-14,30.100000381469727
2018-05-15,29.5
2018-05-16,29.5
2018-05-17,29.5
2018-05-18,29.5
2018-05-21,29.5
2018-05-22,29.5
2018-05-23,15.100000381469727
2018-05-24,22.5
2018-05-25,22.5
2018-05-29,22.5
2018-05-30,22.5
2018-05-31,22.5
2018-06-01,22.5
2018-06-04,22.5
2018-06-05,22.5
2018-06-06,17.5
2018-06-07,22.5
2018-06-08,22.5
2018-06-11,22.5
2018-06-12,19.5
2018-06-13,19.5
2018-06-14,19.5
2018-06-15,19.5
2018-06-18,22.5
2018-06-19,22.5
2018-06-20,22.5
2018-06-21,22.5
2018-06-22,22.5
2018-06-25,22.5
2018-06-26,22.5
2018-06-27,22.5
2018-06-28,22.5
2018-06-29,22.5
2018-07-02,20.0
2018-07-03,20.0
2018-07-05,29.0
2018-07-06,29.0
2018-07-09,29.0
2018-07-10,29.0
2018-07-11,29.0
2018-07-12,29.0
2018-07-13,29.0
2018-07-16,29.0
2018-07-17,29.0
2018-07-18,29.0
2018-07-19,29.0
2018-07-20,29.0
2018-07-23,29.0
2018-07-24,29.0
2018-07-25,29.0
2018-07-26,29.0
2018-07-27,29.0
2018-07-30,29.0
2018-07-31,29.0
2018-08-01,29.0
2018-08-02,29.0
2018-08-03,29.0
2018-08-06,29.0
2018-08-07,29.0
2018-08-08,29.0
2018-08-09,29.0
2018-08-10,29.0
2018-08-13,29.0
2018-08-14,29.0
2018-08-15,29.0
2018-08-16,29.0
2018-08-17,29.0
2018-08-20,29.0
2018-08-21,29.0
2018-08-22,29.0
2018-08-23,29.0
2018-08-24,29.0
2018-08-27,29.0
2018-08-28,29.0
2018-08-29,29.0
2018-08-30,29.0
2018-08-31,29.0
2018-09-04,29.0
2018-09-05,29.0
2018-09-06,29.0
2018-09-07,29.0
2018-09-10,29.0
2018-09-11,29.0
2018-09-12,29.0
2018-09-13,29.0
2018-09-14,25.0
2018-09-17,25.0
2018-09-18,25.0
2018-09-19,150.10000610351562
2018-09-20,77.4000015258789
2018-09-21,47.79999923706055
2018-09-24,55.0
2018-09-25,92.5
2018-09-26,75.0
2018-09-27,70.0
2018-09-28,67.5
2018-10-01,62.5
2018-10-02,53.5
2018-10-03,57.099998474121094
2018-10-04,54.5
2018-10-05,48.599998474121094
2018-10-08,45.0
2018-10-09,40.5
2018-10-10,40.0
2018-10-11,40.0
2018-10-12,37.5
2018-10-15,37.0
2018-10-16,50.0
2018-10-17,37.5
2018-10-18,40.0
2018-10-19,36.0
2018-10-22,31.0
2018-10-23,32.0
2018-10-24,30.0
2018-10-25,28.5
2018-10-26,29.799999237060547
2018-10-29,27.5
2018-10-30,28.5
2018-10-31,27.0
2018-11-01,27.0
2018-11-02,24.5
2018-11-05,23.0
2018-11-06,21.920000076293945
2018-11-07,21.5
2018-11-08,20.0
2018-11-09,21.0
2018-11-12,20.0
2018-11-13,19.5
2018-11-14,16.0
2018-11-15,15.0
2018-11-16,14.399999618530273
2018-11-19,14.5
2018-11-20,18.0
2018-11-21,26.0
2018-11-23,25.899999618530273
2018-11-26,25.549999237060547
2018-11-27,22.0
2018-11-28,20.700000762939453
2018-11-29,20.899999618530273
2018-11-30,18.399999618530273
2018-12-03,23.899999618530273
2018-12-04,17.200000762939453
2018-12-06,16.0
2018-12-07,23.899999618530273
2018-12-10,23.0
2018-12-11,25.0
2018-12-12,32.0
2018-12-13,31.5
2018-12-14,26.5
2018-12-17,26.0
2018-12-18,25.5
2018-12-19,22.0
2018-12-20,23.0
2018-12-21,23.5
2018-12-24,21.0
2018-12-26,20.200000762939453
2018-12-27,19.799999237060547
2018-12-28,22.5
2018-12-31,22.5
2019-01-02,24.0
2019-01-03,23.549999237060547
2019-01-04,23.899999618530273
2019-01-07,24.5
2019-01-08,24.5
2019-01-09,22.5
2019-01-10,23.299999237060547
2019-01-11,23.799999237060547
2019-01-14,25.5
2019-01-15,26.600000381469727
2019-01-16,24.799999237060547
2019-01-17,23.399999618530273
2019-01-18,22.600000381469727
2019-01-22,22.5
2019-01-23,24.0
2019-01-24,24.0
2019-01-25,24.200000762939453
2019-01-28,24.0
2019-01-29,24.0
2019-01-30,23.0
2019-01-31,23.25
2019-02-01,22.5
2019-02-04,23.100000381469727
2019-02-05,22.799999237060547
2019-02-06,23.799999237060547
2019-02-07,29.899999618530273
2019-02-08,39.5
2019-02-11,37.5
2019-02-12,47.5
2019-02-13,60.0
2019-02-14,79.5
2019-02-15,60.0
2019-02-19,51.5
2019-02-20,49.0
2019-02-21,57.20000076293945
2019-02-22,59.400001525878906
2019-02-25,56.0
2019-02-26,55.29999923706055
2019-02-27,52.0
2019-02-28,49.5
2019-03-01,46.400001525878906
2019-03-04,43.400001525878906
2019-03-05,41.0
2019-03-06,39.5
2019-03-07,36.20000076293945
2019-03-08,41.79999923706055
2019-03-11,44.70000076293945
2019-03-12,44.70000076293945
2019-03-13,42.900001525878906
2019-03-14,41.880001068115234
2019-03-15,41.79999923706055
2019-03-18,39.900001525878906
2019-03-19,37.0
2019-03-20,37.400001525878906
2019-03-21,36.5
2019-03-22,35.20000076293945
2019-03-25,34.900001525878906
2019-03-26,39.599998474121094
2019-03-27,38.70000076293945
2019-03-28,35.5
2019-03-29,35.0
2019-04-01,35.5
2019-04-02,35.5
2019-04-03,36.0
2019-04-04,35.5
2019-04-05,35.5
2019-04-08,35.0
2019-04-09,36.5
2019-04-10,34.400001525878906
2019-04-11,34.29999923706055
2019-04-12,34.5
2019-04-15,33.95000076293945
2019-04-16,34.099998474121094
2019-04-17,34.0
2019-04-18,33.0
2019-04-22,32.5
2019-04-23,30.799999237060547
2019-04-24,30.229999542236328
2019-04-25,30.0
2019-04-26,28.149999618530273
2019-04-29,26.0
2019-04-30,25.0
2019-05-01,21.799999237060547
2019-05-02,21.299999237060547
2019-05-03,24.5
2019-05-06,27.299999237060547
2019-05-07,30.5
2019-05-08,30.0
2019-05-09,29.299999237060547
2019-05-10,29.5
2019-05-13,29.0
2019-05-14,28.5
2019-05-15,27.899999618530273
2019-05-16,29.899999618530273
2019-05-17,30.5
2019-05-20,30.0
2019-05-21,29.799999237060547
2019-05-22,28.100000381469727
2019-05-23,27.5
2019-05-24,26.25
2019-05-28,24.100000381469727
2019-05-29,23.950000762939453
2019-05-30,22.399999618530273
2019-05-31,21.75
2019-06-03,22.200000762939453
2019-06-04,22.5
2019-06-05,21.5
2019-06-06,21.200000762939453
2019-06-07,21.200000762939453
2019-06-10,20.899999618530273
2019-06-11,20.899999618530273
2019-06-12,20.200000762939453
2019-06-13,19.100000381469727
2019-06-14,20.600000381469727
2019-06-17,21.899999618530273
2019-06-18,21.899999618530273
2019-06-19,20.5
2019-06-20,20.799999237060547
2019-06-21,20.549999237060547
2019-06-24,20.899999618530273
2019-06-25,20.700000762939453
2019-06-26,20.5
2019-06-27,20.5
2019-06-28,19.5
2019-07-01,19.0
2019-07-02,19.399999618530273
2019-07-03,19.0
2019-07-05,19.799999237060547
2019-07-08,18.899999618530273
2019-07-09,22.5
2019-07-10,19.899999618530273
2019-07-11,20.5
2019-07-12,20.5
2019-07-15,19.700000762939453
2019-07-16,18.899999618530273
2019-07-17,18.899999618530273
2019-07-18,18.399999618530273
2019-07-19,18.200000762939453
2019-07-22,17.899999618530273
2019-07-23,17.600000381469727
2019-07-24,15.0
2019-07-25,14.699999809265137
2019-07-26,15.25
2019-07-29,15.25
2019-07-30,13.699999809265137
2019-07-31,13.5
2019-08-01,12.5
2019-08-02,11.399999618530273
2019-08-05,9.649999618530273
2019-08-06,11.100000381469727
2019-08-07,12.0
2019-08-08,12.0
2019-08-09,11.399999618530273
2019-08-12,12.0
2019-08-13,10.699999809265137
2019-08-14,10.199999809265137
2019-08-15,10.0
2019-08-16,10.199999809265137
2019-08-19,10.199999809265137
2019-08-20,10.5
2019-08-21,10.399999618530273
2019-08-22,10.0
2019-08-23,10.0
2019-08-26,9.899999618530273
2019-08-27,10.399999618530273
2019-08-28,10.0
2019-08-29,10.0
2019-08-30,10.0
2019-09-03,10.300000190734863
2019-09-04,10.0
2019-09-05,9.899999618530273
2019-09-06,9.350000381469727
2019-09-09,9.5
2019-09-10,10.300000190734863
2019-09-11,9.800000190734863
2019-09-12,9.5
2019-09-13,9.350000381469727
2019-09-16,9.199999809265137
2019-09-17,9.399999618530273
2019-09-18,10.0
2019-09-19,9.899999618530273
2019-09-20,9.899999618530273
2019-09-23,9.800000190734863
2019-09-24,9.699999809265137
2019-09-25,9.300000190734863
2019-09-26,8.899999618530273
2019-09-27,8.800000190734863
2019-09-30,8.5
2019-10-01,8.5
2019-10-02,8.399999618530273
2019-10-03,8.300000190734863
2019-10-04,8.199999809265137
2019-10-07,8.0
2019-10-08,7.5
2019-10-09,7.699999809265137
2019-10-10,5.349999904632568
2019-10-11,5.400000095367432
2019-10-14,5.489999771118164
2019-10-15,5.199999809265137
2019-10-16,5.599999904632568
2019-10-17,6.300000190734863
2019-10-18,5.449999809265137
2019-10-21,5.349999904632568
2019-10-22,5.300000190734863
2019-10-23,5.349999904632568
2019-10-24,5.300000190734863
2019-10-25,4.900000095367432
2019-10-28,5.050000190734863
2019-10-29,4.599999904632568
2019-10-30,5.0
2019-10-31,5.0
2019-11-01,4.599999904632568
2019-11-04,4.579999923706055
2019-11-05,4.949999809265137
2019-11-06,6.139999866485596
2019-11-07,7.989999771118164
2019-11-08,8.5
2019-11-11,9.199999809265137
2019-11-12,9.649999618530273
2019-11-13,9.600000381469727
2019-11-14,8.5
2019-11-15,8.850000381469727
2019-11-18,7.599999904632568
2019-11-19,7.099999904632568
2019-11-20,6.800000190734863
2019-11-21,6.699999809265137
2019-11-22,7.0
2019-11-25,6.5
2019-11-26,6.400000095367432
2019-11-27,6.599999904632568
2019-11-29,6.650000095367432
2019-12-02,7.400000095367432
2019-12-03,7.400000095367432
2019-12-04,7.5
2019-12-05,7.099999904632568
2019-12-06,7.099999904632568
2019-12-09,7.099999904632568
2019-12-10,6.699999809265137
2019-12-11,13.0
2019-12-12,7.349999904632568
2019-12-13,6.284999847412109
2019-12-16,5.900000095367432
2019-12-17,6.0
2019-12-18,5.900000095367432
2019-12-19,5.75
2019-12-20,5.849999904632568
2019-12-23,5.699999809265137
2019-12-24,5.429999828338623
2019-12-26,5.449999809265137
2019-12-27,5.400000095367432
2019-12-30,5.389999866485596
2019-12-31,5.349999904632568
2020-01-02,5.599999904632568
2020-01-03,5.5
2020-01-06,5.599999904632568
2020-01-07,5.300000190734863
2020-01-08,5.400000095367432
2020-01-09,5.079999923706055
2020-01-10,5.099999904632568
2020-01-13,5.0
2020-01-14,5.0
2020-01-15,5.0
2020-01-16,5.019999980926514
2020-01-17,5.059999942779541
2020-01-21,5.0
2020-01-22,5.0
2020-01-23,5.28000020980835
2020-01-24,5.5
2020-01-27,5.289999961853027
2020-01-28,5.171999931335449
2020-01-29,5.0
2020-01-30,4.880000114440918
2020-01-31,5.0920000076293945
2020-02-03,4.860000133514404
2020-02-04,5.199999809265137
2020-02-05,5.150000095367432
2020-02-06,5.150000095367432
2020-02-07,5.0
2020-02-10,4.949999809265137
2020-02-11,4.5
2020-02-12,4.5
2020-02-13,4.330999851226807
2020-02-14,4.070000171661377
2020-02-18,4.050000190734863
2020-02-19,4.039999961853027
2020-02-20,3.5899999141693115
2020-02-21,3.5
2020-02-24,3.109999895095825
2020-02-25,3.134999990463257
2020-02-26,3.0399999618530273
2020-02-27,2.943000078201294
2020-02-28,2.740000009536743
2020-03-02,2.799999952316284
2020-03-03,3.5
2020-03-04,3.0899999141693115
2020-03-05,2.740000009536743
2020-03-06,2.6500000953674316
2020-03-09,2.450000047683716
2020-03-10,1.9859999418258667
2020-03-11,1.7999999523162842
2020-03-12,1.649999976158142
2020-03-13,1.850000023841858
2020-03-16,1.4049999713897705
2020-03-17,1.4320000410079956
2020-03-18,1.4500000476837158
2020-03-19,1.399999976158142
2020-03-20,1.215999960899353
2020-03-23,1.190000057220459
2020-03-24,1.3530000448226929
2020-03-25,1.3799999952316284
2020-03-26,1.399999976158142
2020-03-27,1.350000023841858
2020-03-30,1.2200000286102295
2020-03-31,1.2200000286102295
2020-04-01,1.2200000286102295
2020-04-02,1.2000000476837158
2020-04-03,1.1269999742507935
2020-04-06,1.1080000400543213
2020-04-07,1.1399999856948853
2020-04-08,1.149999976158142
2020-04-09,4.150000095367432
2020-04-13,1.9700000286102295
2020-04-14,1.75
2020-04-15,1.559999942779541
2020-04-16,1.899999976158142
2020-04-17,1.7899999618530273
2020-04-20,1.725000023841858
2020-04-21,1.6380000114440918
2020-04-22,1.5299999713897705
2020-04-23,1.6100000143051147
2020-04-24,1.600000023841858
2020-04-27,1.6699999570846558
2020-04-28,1.6399999856948853
2020-04-29,1.6100000143051147
2020-04-30,1.6100000143051147
2020-05-01,1.4900000095367432
2020-05-04,1.399999976158142
2020-05-05,4.550000190734863
2020-05-06,2.7100000381469727
2020-05-07,2.3299999237060547
2020-05-08,2.0399999618530273
2020-05-11,2.259999990463257
2020-05-12,2.5
2020-05-13,2.1600000858306885
