Date,high
2001-04-09,5.954407540565171
2001-04-10,5.800745964050293
2001-04-11,6.05044412612915
2001-04-12,6.050448168067623
2001-04-16,6.14648310496146
2001-04-17,6.223315715789795
2001-04-18,6.511432185743657
2001-04-19,6.530640602111816
2001-04-20,6.530640858098532
2001-04-23,6.530640602111816
2001-04-24,6.530640602111816
2001-04-25,6.530640602111816
2001-04-26,6.626680850982666
2001-04-27,6.868699073791505
2001-04-30,6.8571738781578775
2001-05-01,6.876383304595947
2001-05-02,6.8187575340271
2001-05-03,6.895590782165527
2001-05-04,7.683107376098634
2001-05-07,7.683107514437506
2001-05-08,7.645134449005126
2001-05-09,7.741905419071932
2001-05-10,7.548357963562012
2001-05-11,7.645134449005126
2001-05-14,7.645134449005126
2001-05-15,7.645134449005126
2001-05-16,7.509650777840751
2001-05-17,7.470943066220101
2001-05-18,7.5290076114929505
2001-05-21,7.354814529418944
2001-05-22,7.436104782052025
2001-05-23,7.509648010632452
2001-05-24,7.509647369384766
2001-05-25,7.509647369384766
2001-05-29,7.509647369384766
2001-05-30,7.470940589904784
2001-05-31,7.470940589904784
2001-06-01,7.470941694516658
2001-06-04,7.025782108306886
2001-06-05,7.258038997650146
2001-06-06,7.316099643707275
2001-06-07,7.316099643707275
2001-06-08,7.397390842437744
2001-06-11,7.381907939910888
2001-06-12,7.381907939910888
2001-06-13,7.381907939910888
2001-06-14,7.397390842437744
2001-06-15,7.416748523712157
2001-06-18,7.645130845212966
2001-06-19,7.606422477087108
2001-06-20,7.548357963562012
2001-06-21,7.587067454663996
2001-06-22,7.548362090754205
2001-06-25,7.548357963562012
2001-06-26,7.490293025970459
2001-06-27,7.490293025970459
2001-06-28,7.548357963562012
2001-06-29,7.7419095039367685
2001-07-02,7.74190793129058
2001-07-03,7.645134449005126
2001-07-05,7.645134449005126
2001-07-06,7.869648456573486
2001-07-09,7.559974193572998
2001-07-10,7.869648456573486
2001-07-11,7.7419095039367685
2001-07-12,7.7419095039367685
2001-07-13,7.7419072421758655
2001-07-16,7.567714214324952
2001-07-17,7.7419095039367685
2001-07-18,7.664486436867963
2001-07-19,7.548357963562012
2001-07-20,7.548357963562012
2001-07-23,7.548357963562012
2001-07-24,7.548357963562012
2001-07-25,7.548357963562012
2001-07-26,7.703197956085204
2001-07-27,7.548357963562012
2001-07-30,7.567714214324952
2001-07-31,7.567714214324952
2001-08-01,7.7419095039367685
2001-08-02,7.7419095039367685
2001-08-03,7.738038063049316
2001-08-06,7.738038063049316
2001-08-07,7.587069034576417
2001-08-08,7.703197956085204
2001-08-09,7.703197956085204
2001-08-10,7.703197956085204
2001-08-13,7.738038063049316
2001-08-14,7.7419095039367685
2001-08-15,7.8979172706604
2001-08-16,7.8979172706604
2001-08-17,7.800414562225341
2001-08-20,7.800414562225341
2001-08-21,7.800414562225341
2001-08-22,7.839410305023194
2001-08-23,7.741906642913819
2001-08-24,7.975917602305081
2001-08-27,7.839410305023194
2001-08-28,7.975919119638764
2001-08-29,7.761408329010009
2001-08-30,7.8979172706604
2001-08-31,7.8979172706604
2001-09-04,7.8979172706604
2001-09-05,7.839410305023194
2001-09-06,7.839410305023194
2001-09-07,7.8979172706604
2001-09-10,7.8979172706604
2001-09-17,7.8979172706604
2001-09-18,7.722407817840577
2001-09-19,7.878412246704102
2001-09-20,7.722406562074016
2001-09-21,7.582003640306466
2001-09-24,7.702910240260787
2001-09-25,7.363585948944092
2001-09-26,7.410394668579102
2001-09-27,7.507893091456027
2001-09-28,7.363585948944092
2001-10-01,7.410394668579102
2001-10-02,7.410394668579102
2001-10-03,7.410394668579102
2001-10-04,7.371388912200929
2001-10-05,7.410394668579102
2001-10-08,7.351885863937969
2001-10-09,7.410390120438966
2001-10-10,7.293384075164796
2001-10-11,7.33238697052002
2001-10-12,7.410394668579102
2001-10-15,7.410390763160035
2001-10-16,7.234881401062012
2001-10-17,7.5078935623168945
2001-10-18,7.507895530380917
2001-10-19,7.5078935623168945
2001-10-22,7.5078935623168945
2001-10-23,7.5078935623168945
2001-10-24,7.234881401062012
2001-10-25,7.234881401062012
2001-10-26,7.234881401062012
